vectorLength,actualNumComparisons,expectedNumComparisons,timeElapsed
596,5532,5532,0
597,5543,5543,0.000326
598,5554,5554,0
599,5565,5565,0
600,5576,5576,0
601,5587,5587,0.000671
602,5598,5598,0
603,5609,5609,0
604,5620,5620,0
605,5631,5631,0
606,5642,5642,0
607,5653,5653,0
608,5664,5664,0.000997
609,5675,5675,0
610,5686,5686,0
611,5697,5697,0
612,5708,5708,0
613,5719,5719,0
614,5730,5730,0.000998
615,5741,5741,0
616,5752,5752,0
617,5763,5763,0
618,5774,5774,0
619,5785,5785,0
620,5796,5796,0
621,5807,5807,0.000997
622,5818,5818,0
623,5829,5829,0
624,5840,5840,0
625,5851,5851,0
626,5862,5862,0
627,5873,5873,0.000997
628,5884,5884,0
629,5895,5895,0
630,5906,5906,0
631,5917,5917,0
632,5928,5928,0
633,5939,5939,0.000998
634,5950,5950,0
635,5961,5961,0
636,5972,5972,0
637,5983,5983,0
638,5994,5994,0
639,6005,6005,0.000997
640,6016,6016,0
641,6027,6027,0
642,6038,6038,0
643,6049,6049,0
644,6060,6060,0
645,6071,6071,0.000997
646,6082,6082,0
647,6093,6093,0
648,6104,6104,0
649,6115,6115,0
650,6126,6126,0
651,6137,6137,0.000998
652,6148,6148,0
653,6159,6159,0
654,6170,6170,0
655,6181,6181,0
656,6192,6192,0
657,6203,6203,0.001004
658,6214,6214,0
659,6225,6225,0.000348
660,6236,6236,0.000164
661,6247,6247,0.000177
662,6258,6258,0.000128
663,6269,6269,7.1e-005
664,6280,6280,0
665,6291,6291,0.00014
666,6302,6302,9.5e-005
667,6313,6313,0
668,6324,6324,0
669,6335,6335,0.000539
670,6346,6346,0.000143
671,6357,6357,0.000121
672,6368,6368,7.2e-005
673,6379,6379,0.000225
674,6390,6390,0
675,6401,6401,0.00014
676,6412,6412,0.000153
677,6423,6423,7e-005
678,6434,6434,0.000138
679,6445,6445,0.000229
680,6456,6456,0.00016
681,6467,6467,1.6e-005
682,6478,6478,0
683,6489,6489,0.000482
684,6500,6500,0
685,6511,6511,0
686,6522,6522,0
687,6533,6533,7.8e-005
688,6544,6544,0
689,6555,6555,0
690,6566,6566,0
691,6577,6577,0.000775
692,6588,6588,0.000157
693,6599,6599,0
694,6610,6610,0
695,6621,6621,0.000537
696,6632,6632,0.00018
697,6643,6643,0
